F	M	Markers	P	CorrectedP	Signif	Bias
15	16	147	1	1	False	-0.016129
15	17	191	0.899647	1	False	-0.0483871
15	18	184	0.704584	1	False	-0.0806451
15	19	184	0.526105	1	False	-0.112903
15	20	112	0.372693	1	False	-0.145161
15	21	87	0.249121	1	False	-0.177419
15	22	65	0.156167	1	False	-0.209677
15	23	76	0.0911653	1	False	-0.241935
15	24	58	0.049153	1	False	-0.274194
15	25	55	0.0242386	1	False	-0.306452
15	26	14	0.0108048	1	False	-0.33871
15	27	8	0.00429243	1	False	-0.370968
15	28	11	0.00149353	1	False	-0.403226
15	29	4	0.000445433	1	False	-0.435484
15	30	1	0.000110835	1	False	-0.467742
15	31	0	2.22334e-05	1	False	-0.5
16	0	0	8.67631e-06	1	False	0.533333
16	1	4	4.44945e-05	1	False	0.501075
16	2	2	0.000185873	1	False	0.468817
16	3	23	0.000652337	1	False	0.436559
16	4	19	0.00197135	1	False	0.404301
16	5	12	0.00523257	1	False	0.372043
16	6	41	0.012398	1	False	0.339785
16	7	31	0.0265736	1	False	0.307527
16	8	43	0.0520959	1	False	0.275269
16	9	65	0.09428	1	False	0.243011
16	10	249	0.158739	1	False	0.210753
16	11	150	0.250315	1	False	0.178495
16	12	136	0.371811	1	False	0.146237
16	13	164	0.522859	1	False	0.113979
16	14	222	0.699265	1	False	0.0817205
16	15	147	0.89311	1	False	0.0494624
16	16	184	1	1	False	0.0172043
16	17	159	1	1	False	-0.0150537
16	18	135	0.905799	1	False	-0.0473118
16	19	116	0.708735	1	False	-0.0795699
16	20	153	0.527561	1	False	-0.111828
16	21	75	0.371418	1	False	-0.144086
16	22	54	0.245707	1	False	-0.176344
16	23	83	0.151596	1	False	-0.208602
16	24	80	0.0864746	1	False	-0.24086
16	25	52	0.0451359	1	False	-0.273118
16	26	38	0.0212902	1	False	-0.305376
16	27	11	0.00893855	1	False	-0.337634
16	28	5	0.00327818	1	False	-0.369892
16	29	13	0.00102585	1	False	-0.402151
16	30	10	0.000265886	1	False	-0.434409
16	31	0	5.49309e-05	1	False	-0.466667
17	0	0	3.25512e-06	1	False	0.566667
17	1	0	1.71552e-05	1	False	0.534409
17	2	7	7.43559e-05	1	False	0.502151
17	3	9	0.000272553	1	False	0.469892
17	4	5	0.000864142	1	False	0.437634
17	5	4	0.0024137	1	False	0.405376
17	6	13	0.0060296	1	False	0.373118
17	7	24	0.0136402	1	False	0.34086
17	8	20	0.0282359	1	False	0.308602
17	9	50	0.0539537	1	False	0.276344
17	10	69	0.0958714	1	False	0.244086
17	11	74	0.159418	1	False	0.211828
17	12	149	0.249411	1	False	0.17957
17	13	120	0.368866	1	False	0.147312
17	14	340	0.517855	1	False	0.115054
17	15	156	0.692742	1	False	0.0827957
17	16	253	0.886108	1	False	0.0505376
17	17	127	1	1	False	0.0182796
17	18	221	1	1	False	-0.0139785
17	19	160	0.911632	1	False	-0.0462366
17	20	158	0.71171	1	False	-0.0784946
17	21	108	0.527127	1	False	-0.110753
17	22	112	0.367817	1	False	-0.143011
17	23	166	0.239889	1	False	-0.175269
17	24	250	0.14489	1	False	-0.207527
17	25	51	0.0801592	1	False	-0.239785
17	26	73	0.0400868	1	False	-0.272043
17	27	25	0.0178289	1	False	-0.304301
17	28	9	0.00691067	1	False	-0.336559
17	29	12	0.00227542	1	False	-0.368817
17	30	1	0.000615799	1	False	-0.401075
17	31	1	0.0001312	1	False	-0.433333
18	0	0	1.1705e-06	0.404656	False	0.6
18	1	4	6.33367e-06	1	False	0.567742
18	2	1	2.84358e-05	1	False	0.535484
18	3	1	0.000108649	1	False	0.503226
18	4	5	0.000360675	1	False	0.470968
18	5	3	0.00105808	1	False	0.43871
18	6	9	0.00278192	1	False	0.406452
18	7	30	0.00663265	1	False	0.374194
18	8	28	0.0144815	1	False	0.341936
18	9	25	0.029196	1	False	0.309677
18	10	36	0.0547345	1	False	0.277419
18	11	65	0.0959889	1	False	0.245161
18	12	75	0.158279	1	False	0.212903
18	13	91	0.246481	1	False	0.180645
18	14	155	0.363892	1	False	0.148387
18	15	173	0.511067	1	False	0.116129
18	16	148	0.684937	1	False	0.083871
18	17	209	0.878542	1	False	0.0516129
18	18	146	1	1	False	0.0193549
18	19	165	1	1	False	-0.0129032
18	20	218	0.917204	1	False	-0.0451612
18	21	227	0.713453	1	False	-0.0774193
18	22	135	0.524624	1	False	-0.109677
18	23	118	0.361634	1	False	-0.141935
18	24	87	0.231412	1	False	-0.174194
18	25	77	0.13588	1	False	-0.206452
18	26	41	0.0721874	1	False	-0.23871
18	27	63	0.034099	1	False	-0.270968
18	28	28	0.0140115	1	False	-0.303226
18	29	3	0.00486974	1	False	-0.335484
18	30	14	0.00138006	1	False	-0.367742
18	31	1	0.000303716	1	False	-0.4
19	0	0	4.02086e-07	0.139006	False	0.633333
19	1	0	2.23186e-06	0.771578	False	0.601075
19	2	0	1.03634e-05	1	False	0.568817
19	3	2	4.11992e-05	1	False	0.536559
19	4	3	0.000142924	1	False	0.504301
19	5	4	0.000439554	1	False	0.472043
19	6	3	0.0012143	1	False	0.439785
19	7	15	0.0030468	1	False	0.407527
19	8	14	0.00700824	1	False	0.375269
19	9	9	0.0148949	1	False	0.343011
19	10	28	0.0294466	1	False	0.310753
19	11	36	0.0544588	1	False	0.278495
19	12	37	0.0946772	1	False	0.246237
19	13	67	0.155372	1	False	0.213978
19	14	69	0.24155	1	False	0.18172
19	15	136	0.356863	1	False	0.149462
19	16	147	0.50241	1	False	0.117204
19	17	176	0.67572	1	False	0.0849462
19	18	174	0.870287	1	False	0.0526882
19	19	189	1	1	False	0.0204301
19	20	245	1	1	False	-0.0118279
19	21	170	0.922566	1	False	-0.044086
19	22	201	0.713849	1	False	-0.0763441
19	23	112	0.519773	1	False	-0.108602
19	24	180	0.352492	1	False	-0.14086
19	25	87	0.219929	1	False	-0.173118
19	26	60	0.124372	1	False	-0.205376
19	27	50	0.0625713	1	False	-0.237634
19	28	33	0.0273494	1	False	-0.269892
19	29	21	0.0100709	1	False	-0.302151
19	30	5	0.00299896	1	False	-0.334409
19	31	0	0.000683104	1	False	-0.366667
20	0	0	1.31478e-07	0.0454532	True	0.666667
20	1	0	7.47952e-07	0.258575	False	0.634409
20	2	1	3.58674e-06	1	False	0.602151
20	3	0	1.48101e-05	1	False	0.569893
20	4	2	5.35924e-05	1	False	0.537634
20	5	4	0.000172476	1	False	0.505376
20	6	1	0.000499806	1	False	0.473118
20	7	7	0.0013178	1	False	0.44086
20	8	9	0.00318939	1	False	0.408602
20	9	16	0.00713895	1	False	0.376344
20	10	35	0.0148731	1	False	0.344086
20	11	24	0.0289982	1	False	0.311828
20	12	36	0.0531565	1	False	0.27957
20	13	53	0.0919754	1	False	0.247312
20	14	81	0.150723	1	False	0.215054
20	15	121	0.234602	1	False	0.182796
20	16	139	0.347698	1	False	0.150538
20	17	127	0.491734	1	False	0.11828
20	18	154	0.664906	1	False	0.0860215
20	19	261	0.861184	1	False	0.0537634
20	20	264	1	1	False	0.0215054
20	21	232	1	1	False	-0.0107527
20	22	190	0.927762	1	False	-0.0430107
20	23	209	0.712706	1	False	-0.0752688
20	24	203	0.512148	1	False	-0.107527
20	25	92	0.339851	1	False	-0.139785
20	26	74	0.204983	1	False	-0.172043
20	27	61	0.110163	1	False	-0.204301
20	28	88	0.0514172	1	False	-0.236559
20	29	43	0.0201481	1	False	-0.268817
20	30	12	0.00633108	1	False	-0.301075
20	31	1	0.00149638	1	False	-0.333333
21	0	0	4.07637e-08	0.0140925	True	0.7
21	1	0	2.37445e-07	0.0820875	False	0.667742
21	2	0	1.17423e-06	0.405946	False	0.635484
21	3	0	5.0274e-06	1	False	0.603226
21	4	2	1.89423e-05	1	False	0.570968
21	5	2	6.36794e-05	1	False	0.53871
21	6	1	0.000193237	1	False	0.506452
21	7	3	0.000534556	1	False	0.474194
21	8	2	0.00135943	1	False	0.441935
21	9	8	0.00320107	1	False	0.409677
21	10	9	0.00702207	1	False	0.377419
21	11	24	0.0144257	1	False	0.345161
21	12	48	0.0278769	1	False	0.312903
21	13	29	0.0508666	1	False	0.280645
21	14	61	0.0879205	1	False	0.248387
21	15	85	0.14434	1	False	0.216129
21	16	70	0.225583	1	False	0.183871
21	17	148	0.336255	1	False	0.151613
21	18	148	0.478812	1	False	0.119355
21	19	182	0.652231	1	False	0.0870968
21	20	246	0.85102	1	False	0.0548387
21	21	203	1	1	False	0.0225806
21	22	136	1	1	False	-0.00967741
21	23	150	0.932835	1	False	-0.0419355
21	24	351	0.709715	1	False	-0.0741935
21	25	171	0.501112	1	False	-0.106452
21	26	121	0.322942	1	False	-0.13871
21	27	136	0.185976	1	False	-0.170968
21	28	88	0.0930909	1	False	-0.203226
21	29	87	0.0390203	1	False	-0.235484
21	30	44	0.013006	1	False	-0.267742
21	31	15	0.00320031	1	False	-0.3
22	0	0	1.19324e-08	0.00412515	True	0.733333
22	1	0	7.10961e-08	0.0245787	True	0.701075
22	2	0	3.62048e-07	0.125164	False	0.668817
22	3	0	1.6045e-06	0.554693	False	0.636559
22	4	0	6.2832e-06	1	False	0.604301
22	5	0	2.20237e-05	1	False	0.572043
22	6	2	6.98604e-05	1	False	0.539785
22	7	1	0.000202429	1	False	0.507527
22	8	1	0.000540126	1	False	0.475269
22	9	3	0.00133624	1	False	0.443011
22	10	6	0.00308317	1	False	0.410753
22	11	29	0.00666852	1	False	0.378495
22	12	9	0.0135784	1	False	0.346237
22	13	32	0.0261246	1	False	0.313979
22	14	51	0.0476395	1	False	0.28172
22	15	56	0.0825507	1	False	0.249462
22	16	65	0.136215	1	False	0.217204
22	17	119	0.214398	1	False	0.184946
22	18	132	0.322323	1	False	0.152688
22	19	221	0.463325	1	False	0.12043
22	20	226	0.637327	1	False	0.0881721
22	21	269	0.839507	1	False	0.055914
22	22	195	1	1	False	0.023656
22	23	196	1	1	False	-0.00860214
22	24	197	0.937829	1	False	-0.0408602
22	25	174	0.704393	1	False	-0.0731183
22	26	133	0.485695	1	False	-0.105376
22	27	156	0.300646	1	False	-0.137634
22	28	87	0.162166	1	False	-0.169892
22	29	103	0.0731611	1	False	-0.202151
22	30	58	0.0260371	1	False	-0.234409
22	31	8	0.00669954	1	False	-0.266667
23	0	0	3.28224e-09	0.0011347	True	0.766667
23	1	0	1.99815e-08	0.00690783	True	0.734409
23	2	0	1.04619e-07	0.0361678	True	0.702151
23	3	0	4.79066e-07	0.165618	False	0.669892
23	4	0	1.94609e-06	0.672786	False	0.637634
23	5	2	7.09873e-06	1	False	0.605376
23	6	0	2.34938e-05	1	False	0.573118
23	7	0	7.11791e-05	1	False	0.54086
23	8	0	0.000198934	1	False	0.508602
23	9	4	0.000516292	1	False	0.476344
23	10	2	0.00125137	1	False	0.444086
23	11	11	0.00284647	1	False	0.411828
23	12	11	0.0061022	1	False	0.37957
23	13	22	0.012373	1	False	0.347312
23	14	47	0.0238005	1	False	0.315054
23	15	32	0.0435417	1	False	0.282796
23	16	42	0.0759131	1	False	0.250538
23	17	78	0.126332	1	False	0.21828
23	18	103	0.200916	1	False	0.186022
23	19	160	0.305612	1	False	0.153763
23	20	169	0.444828	1	False	0.121505
23	21	165	0.619679	1	False	0.0892473
23	22	220	0.826241	1	False	0.0569893
23	23	382	1	1	False	0.0247312
23	24	258	1	1	False	-0.00752687
23	25	191	0.942787	1	False	-0.039785
23	26	225	0.695957	1	False	-0.072043
23	27	237	0.464368	1	False	-0.104301
23	28	111	0.271313	1	False	-0.136559
23	29	123	0.132709	1	False	-0.168817
23	30	72	0.0508527	1	False	-0.201075
23	31	21	0.0137661	1	False	-0.233333
24	0	0	8.44011e-10	0.000291784	True	0.8
24	1	0	5.24312e-09	0.0018126	True	0.767742
24	2	0	2.81779e-08	0.00974141	True	0.735484
24	3	0	1.33071e-07	0.0460041	True	0.703226
24	4	1	5.5963e-07	0.19347	False	0.670968
24	5	1	2.11995e-06	0.732891	False	0.63871
24	6	0	7.30526e-06	1	False	0.606452
24	7	0	2.30952e-05	1	False	0.574194
24	8	0	6.74815e-05	1	False	0.541936
24	9	2	0.000183398	1	False	0.509677
24	10	2	0.000466182	1	False	0.477419
24	11	2	0.00111364	1	False	0.445161
24	12	11	0.00251047	1	False	0.412903
24	13	5	0.00535947	1	False	0.380645
24	14	16	0.0108679	1	False	0.348387
24	15	21	0.020985	1	False	0.316129
24	16	66	0.0386628	1	False	0.283871
24	17	69	0.0680747	1	False	0.251613
24	18	90	0.114679	1	False	0.219355
24	19	142	0.184969	1	False	0.187097
24	20	200	0.285735	1	False	0.154839
24	21	197	0.4227	1	False	0.122581
24	22	169	0.598546	1	False	0.0903226
24	23	345	0.810625	1	False	0.0580645
24	24	218	1	1	False	0.0258065
24	25	236	1	1	False	-0.00645161
24	26	324	0.947758	1	False	-0.0387096
24	27	289	0.68308	1	False	-0.0709677
24	28	149	0.434598	1	False	-0.103226
24	29	132	0.23247	1	False	-0.135484
24	30	134	0.0969606	1	False	-0.167742
24	31	49	0.0278542	1	False	-0.2
25	0	0	2.01728e-10	6.97395e-05	True	0.833333
25	1	0	1.27687e-09	0.000441427	True	0.801075
25	2	0	7.03076e-09	0.00243061	True	0.768817
25	3	0	3.41715e-08	0.0118135	True	0.736559
25	4	0	1.48446e-07	0.0513194	False	0.704301
25	5	0	5.82652e-07	0.201429	False	0.672043
25	6	0	2.08572e-06	0.721055	False	0.639785
25	7	1	6.86499e-06	1	False	0.607527
25	8	1	2.09239e-05	1	False	0.575269
25	9	0	5.94221e-05	1	False	0.543011
25	10	1	0.000158088	1	False	0.510753
25	11	3	0.000395858	1	False	0.478495
25	12	2	0.000936785	1	False	0.446237
25	13	8	0.00210248	1	False	0.413978
25	14	10	0.00448876	1	False	0.38172
25	15	20	0.00913958	1	False	0.349462
25	16	14	0.0177844	1	False	0.317204
25	17	31	0.033127	1	False	0.284946
25	18	55	0.0591399	1	False	0.252688
25	19	109	0.101267	1	False	0.22043
25	20	175	0.166369	1	False	0.188172
25	21	133	0.262188	1	False	0.155914
25	22	156	0.396075	1	False	0.123656
25	23	223	0.572829	1	False	0.0913978
25	24	244	0.791747	1	False	0.0591398
25	25	320	1	1	False	0.0268817
25	26	336	1	1	False	-0.00537634
25	27	308	0.952798	1	False	-0.0376344
25	28	261	0.66333	1	False	-0.0698925
25	29	242	0.39187	1	False	-0.102151
25	30	159	0.180461	1	False	-0.134409
25	31	72	0.0557258	1	False	-0.166667
26	0	0	4.45296e-11	1.53944e-05	True	0.866667
26	1	0	2.86689e-10	9.91116e-05	True	0.834409
26	2	0	1.61399e-09	0.000557973	True	0.802151
26	3	0	8.05451e-09	0.00278453	True	0.769892
26	4	0	3.60539e-08	0.0124642	True	0.737634
26	5	0	1.46248e-07	0.0505595	False	0.705376
26	6	0	5.42411e-07	0.187518	False	0.673118
26	7	0	1.85379e-06	0.640877	False	0.64086
26	8	0	5.8784e-06	1	False	0.608602
26	9	2	1.73993e-05	1	False	0.576344
26	10	1	4.83251e-05	1	False	0.544086
26	11	9	0.000126531	1	False	0.511828
26	12	4	0.000313595	1	False	0.47957
26	13	3	0.000738296	1	False	0.447312
26	14	6	0.00165622	1	False	0.415054
26	15	7	0.00354958	1	False	0.382796
26	16	3	0.00728397	1	False	0.350538
26	17	14	0.0143375	1	False	0.31828
26	18	21	0.0271079	1	False	0.286022
26	19	47	0.0492772	1	False	0.253763
26	20	96	0.0861662	1	False	0.221505
26	21	87	0.144928	1	False	0.189247
26	22	114	0.234324	1	False	0.156989
26	23	250	0.363715	1	False	0.124731
26	24	271	0.540837	1	False	0.0924731
26	25	297	0.768103	1	False	0.0602151
26	26	313	1	1	False	0.027957
26	27	372	1	1	False	-0.00430107
26	28	416	0.957978	1	False	-0.0365591
26	29	324	0.631695	1	False	-0.0688172
26	30	313	0.327311	1	False	-0.101075
26	31	223	0.110857	1	False	-0.133333
27	0	0	9.01368e-12	3.11613e-06	True	0.9
27	1	0	5.89053e-11	2.03642e-05	True	0.867742
27	2	0	3.38245e-10	0.000116935	True	0.835484
27	3	0	1.72861e-09	0.000597599	True	0.803226
27	4	0	7.95038e-09	0.00274853	True	0.770968
27	5	0	3.32301e-08	0.011488	True	0.73871
27	6	0	1.27302e-07	0.0440096	True	0.706452
27	7	0	4.50356e-07	0.155693	False	0.674194
27	8	1	1.48105e-06	0.512017	False	0.641935
27	9	0	4.55431e-06	1	False	0.609677
27	10	0	1.31632e-05	1	False	0.577419
27	11	1	3.59237e-05	1	False	0.545161
27	12	0	9.29498e-05	1	False	0.512903
27	13	2	0.000228837	1	False	0.480645
27	14	1	0.000537761	1	False	0.448387
27	15	1	0.00120959	1	False	0.416129
27	16	1	0.00261044	1	False	0.383871
27	17	5	0.00541617	1	False	0.351613
27	18	14	0.0108217	1	False	0.319355
27	19	24	0.0208483	1	False	0.287097
27	20	50	0.0387609	1	False	0.254839
27	21	48	0.0695703	1	False	0.222581
27	22	91	0.120525	1	False	0.190323
27	23	150	0.201356	1	False	0.158064
27	24	246	0.32382	1	False	0.125806
27	25	280	0.499803	1	False	0.0935484
27	26	310	0.737008	1	False	0.0612903
27	27	386	1	1	False	0.0290322
27	28	409	1	1	False	-0.0032258
27	29	403	0.963377	1	False	-0.0354839
27	30	669	0.575671	1	False	-0.0677419
27	31	410	0.221263	1	False	-0.1
28	0	0	1.65978e-12	5.73805e-07	True	0.933333
28	1	0	1.09834e-11	3.79709e-06	True	0.901075
28	2	0	6.41491e-11	2.21771e-05	True	0.868817
28	3	0	3.34692e-10	0.000115707	True	0.836559
28	4	0	1.57646e-09	0.000545	True	0.804301
28	5	0	6.7659e-09	0.00233905	True	0.772043
28	6	0	2.66759e-08	0.00922215	True	0.739785
28	7	0	9.73194e-08	0.0336444	True	0.707527
28	8	0	3.30638e-07	0.114305	False	0.675269
28	9	0	1.0521e-06	0.363722	False	0.643011
28	10	0	3.15155e-06	1	False	0.610753
28	11	0	8.92752e-06	1	False	0.578495
28	12	0	2.40131e-05	1	False	0.546237
28	13	1	6.15545e-05	1	False	0.513978
28	14	1	0.000150864	1	False	0.48172
28	15	0	0.000354563	1	False	0.449462
28	16	1	0.000801145	1	False	0.417204
28	17	6	0.00174435	1	False	0.384946
28	18	6	0.00366712	1	False	0.352688
28	19	25	0.00745626	1	False	0.32043
28	20	24	0.0146831	1	False	0.288172
28	21	17	0.028032	1	False	0.255914
28	22	27	0.0519139	1	False	0.223656
28	23	66	0.0932656	1	False	0.191398
28	24	110	0.162427	1	False	0.15914
28	25	209	0.273728	1	False	0.126882
28	26	272	0.444854	1	False	0.0946237
28	27	375	0.693026	1	False	0.0623656
28	28	451	1	1	False	0.0301076
28	29	608	1	1	False	-0.00215054
28	30	715	0.969025	1	False	-0.0344086
28	31	761	0.450577	1	False	-0.0666667
29	0	0	2.75557e-13	9.52632e-08	True	0.966667
29	1	0	1.84108e-12	6.36483e-07	True	0.934409
29	2	0	1.09008e-11	3.76854e-06	True	0.902151
29	3	0	5.78539e-11	2.00007e-05	True	0.869892
29	4	0	2.77992e-10	9.61048e-05	True	0.837634
29	5	0	1.22007e-09	0.00042179	True	0.805376
29	6	0	4.92924e-09	0.00170409	True	0.773118
29	7	0	1.84604e-08	0.00638197	True	0.74086
29	8	0	6.44856e-08	0.0222934	True	0.708602
29	9	0	2.11279e-07	0.0730414	False	0.676344
29	10	0	6.52516e-07	0.225582	False	0.644086
29	11	0	1.90819e-06	0.659682	False	0.611828
29	12	0	5.30535e-06	1	False	0.57957
29	13	0	1.40757e-05	1	False	0.547312
29	14	1	3.57556e-05	1	False	0.515054
29	15	0	8.72292e-05	1	False	0.482796
29	16	1	0.000204943	1	False	0.450538
29	17	1	0.000464902	1	False	0.41828
29	18	2	0.00102062	1	False	0.386021
29	19	9	0.00217301	1	False	0.353763
29	20	8	0.00449577	1	False	0.321505
29	21	30	0.0090543	1	False	0.289247
29	22	20	0.0177786	1	False	0.256989
29	23	81	0.0340812	1	False	0.224731
29	24	84	0.063851	1	False	0.192473
29	25	102	0.116984	1	False	0.160215
29	26	175	0.20957	1	False	0.127957
29	27	355	0.366516	1	False	0.0956989
29	28	550	0.622808	1	False	0.0634409
29	29	674	1	1	False	0.0311828
29	30	1002	1	1	False	-0.00107527
29	31	2277	0.973624	1	False	-0.0333334
30	0	0	4.08562e-14	1.41244e-08	True	1
30	1	0	2.74447e-13	9.48794e-08	True	0.967742
30	2	0	1.64102e-12	5.67319e-07	True	0.935484
30	3	0	8.82161e-12	3.04973e-06	True	0.903226
30	4	0	4.30426e-11	1.48803e-05	True	0.870968
30	5	0	1.92225e-10	6.64542e-05	True	0.83871
30	6	0	7.91633e-10	0.000273676	True	0.806452
30	7	0	3.02649e-09	0.00104629	True	0.774194
30	8	0	1.08057e-08	0.00373564	True	0.741935
30	9	0	3.62243e-08	0.0125232	True	0.709677
30	10	0	1.14577e-07	0.0396104	True	0.677419
30	11	0	3.43441e-07	0.118731	False	0.645161
30	12	0	9.7951e-07	0.338627	False	0.612903
30	13	0	2.66782e-06	0.922296	False	0.580645
30	14	0	6.96235e-06	1	False	0.548387
30	15	1	1.74642e-05	1	False	0.516129
30	16	0	4.22267e-05	1	False	0.483871
30	17	0	9.86807e-05	1	False	0.451613
30	18	0	0.000223452	1	False	0.419355
30	19	1	0.000491459	1	False	0.387097
30	20	0	0.00105234	1	False	0.354839
30	21	10	0.00219879	1	False	0.322581
30	22	5	0.00449349	1	False	0.290323
30	23	33	0.00900354	1	False	0.258065
30	24	21	0.0177352	1	False	0.225806
30	25	31	0.0344518	1	False	0.193548
30	26	102	0.066262	1	False	0.16129
30	27	188	0.126884	1	False	0.129032
30	28	413	0.244047	1	False	0.0967742
30	29	801	0.47938	1	False	0.0645161
30	30	1708	1	1	False	0.0322581
30	31	31257	1	1	False	0
